Lien d'une DB de musiques (khinsider),,,,,,,,,Votants,,,,,,,,,,,,,,,,,,,,,,,
"Hésitez pas à rajouter des musiques, et à noter celles déjà dans le gsheet",,,,,,,,,"(1 si vous êtes cap de la reconnaître en blindtest, 0 sinon)",,,,,,,,,,,,,,,,,,,,,,,
"Mettez en priorité les liens de la page web, les liens de l'audio deviennent rapidemment obsolètes mais on peut les récupérer grâce à la page web",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Licence, nb: 315","Jeu, nb: 541","OST, nb: 1294",Noms Valides pr trouver séparé les noms par /,"Lien page web, nb: 192",,Lien audio,Nb de vote,Vote moyenne connais (1)/connais pas (0),UserA,UserB,UserC,UserD,UserE,UserF,UserG,UserH,UserI,UserJ,UserK,UserL,UserM,UserN,UserO,UserP,UserQ,UserR,UserS,UserT,UserU,UserV,UserW,UserX
Omori,Omori,My time,,https://downloads.khinsider.com/game-soundtracks/album/omori-original-soundtrack-2020/178.%2520My%2520Time.mp3,,https://audio.jukehost.co.uk/zCVCTmOuBxs4xw5ZLjUMyThboT8L8P8I,5,6,0,1,,,,,1,0,,,0,,,,,,,,,,,,,
Omori,Omori,OMORI,,https://downloads.khinsider.com/game-soundtracks/album/omori-original-soundtrack-2020/168.%2520OMORI.mp3,,https://audio.jukehost.co.uk/dcA30yiFoxM0RqnNZYYxOZvagDbNrCYO,5,6,0,1,,,,,1,0,,,0,,,,,,,,,,,,,
Omori,Omori,World's end valentine,,https://downloads.khinsider.com/game-soundtracks/album/omori-original-soundtrack-2020/86.%2520World%2527s%2520End%2520Valentine.mp3,,https://audio.jukehost.co.uk/pkWtURuUqjjjrKzSJdh8CRmxxQWnvBA2,5,6,0,1,,,,,1,0,,,0,,,,,,,,,,,,,
Omori,Omori,You were wrong go back,,https://downloads.khinsider.com/game-soundtracks/album/omori-original-soundtrack-2020/40.%2520You%2520Were%2520Wrong.%2520Go%2520Back..mp3,,https://audio.jukehost.co.uk/lYbZdihVgn4Zpvt8WLrTgNOVRMJvjQTq,5,6,0,1,,,,,1,0,,,0,,,,,,,,,,,,,
One Piece,Unlimited Cruise,Selecting Character,,,,https://audio.jukehost.co.uk/t0wRIfa7UWjC0guV1SjhzxnM0geJ2fae,5,6,1,0,,,,,1,,,,0,,,,,,0,,,,,,,
One Piece,Unlimited Cruise,Team Battle,,,,https://audio.jukehost.co.uk/JIIG9Wdmway83faq523tdtcjxXNxoUJg,5,6,1,0,,,,,1,,,,0,,,,,,0,,,,,,,
One Piece,Unlimited Cruise,The Thousand Sunny,,,,https://audio.jukehost.co.uk/FZiP1HdWcnUTwEvdGsntzqBH4AEa64Oi,5,6,1,0,,,,,1,,,,0,,,,,,0,,,,,,,
One Piece,Unlimited Cruise,Title Menu,,,,https://audio.jukehost.co.uk/low7URjGbEoGWLJDjWD2a2z9ihruymP4,5,6,1,0,,,,,1,,,,0,,,,,,0,,,,,,,
One Piece,Unlimited Cruise 2,Main theme,,,,https://audio.jukehost.co.uk/X8phW3HdSs0tSbl7ygsNZjQIadqgxhoi,5,6,1,0,,,,,1,,,,0,,,,,,0,,,,,,,
Ori,Ori and the will of the wisps,Main theme,,https://downloads.khinsider.com/game-soundtracks/album/ori-and-the-will-of-the-wisps-2020/01%2520Main%2520Theme.mp3,,,5,6,0,0,,,,,1,,,,,,,,,,0,1,,,,,,
Ori,Ori and the will of the wisps,We named her Ku,,https://downloads.khinsider.com/game-soundtracks/album/ori-and-the-will-of-the-wisps-deluxe-edition-2024/01.%2520We%2520Named%2520Her%2520Ku%2520%2528Prologue%2520A%2529.mp3,,https://audio.jukehost.co.uk/UtllOMckjrs6vtM4ew70n342oKKKTAG9,5,6,0,0,,,,,1,1,,,,,,,,,0,,,,,,,
Payday,Payday 2,Master Plan,,,,,8,6,1,0,,,,,0,1,,,,,,0,,,1,,,,0,,0,
PepsiMan,Pepsi Man,Pepsi Man theme,,,,https://audio.jukehost.co.uk/hJRxmApNbKQCkaORsjWhYeOUjZJcZvEe,8,6,1,0,,,,,1,0,,,,,,0,1,,0,,,,,,0,
Persona,Persona 3,Burn My Dread,,,,https://audio.jukehost.co.uk/hLhTLkAvS1UiMoxtWeLpbaTlOFl5zhEJ,5,6,0,0,,,,,1,,,,,,,1,,,0,,,,,,,
Persona,Persona 3 Reload,Color Your Night,,https://downloads.khinsider.com/game-soundtracks/album/persona-3-reload-original-soundtrack-2024/1-16.%2520Color%2520Your%2520Night.mp3,,https://audio.jukehost.co.uk/6GGCKL9A6vJbJhvjpj4su1iIy29hTET7,9,6,1,0,,,,0,1,0,,0,0,,,1,1,,,,,,,,,
Persona,Persona 3 Reload,Full Moon Full Life,,https://downloads.khinsider.com/game-soundtracks/album/persona-3-reload-original-soundtrack-2024/1-01.%2520Full%2520Moon%2520Full%2520Life.mp3,,https://audio.jukehost.co.uk/JyEKioNKEOgikaEhXQRaRjp2CLPKVmNr,9,6,1,0,,,,0,1,0,,0,0,,,1,1,,,,,,,,,
Persona,Persona 3 Reload,It's Going Down Now,,https://downloads.khinsider.com/game-soundtracks/album/persona-3-reload-original-soundtrack-2024/1-30.%2520It%25E2%2580%2599s%2520Going%2520Down%2520Now.mp3,,https://audio.jukehost.co.uk/nX5iDsb9Cs3lgpa3fg7ZUWO8whcaeCCd,9,6,1,0,,,,0,1,0,,0,0,,,1,1,,,,,,,,,
Persona,Persona 4,A Corner of Memories,Glimpse of a Memory,,,,8,6,1,0,,,,0,1,0,,0,0,,,1,,,,,,,,,,
Persona,Persona 4,Pursuing My True Self,,,,https://audio.jukehost.co.uk/Djozqqs3cZwPKpckhGt7iy8F2WSSG23B,8,6,1,0,,,,0,1,0,,0,0,,,1,,,,,,,,,,
Persona,Persona 4,Signs of Love,,,,https://audio.jukehost.co.uk/7zHiY3yN9RNNdQ9xLquXnJi6EmDTHQXz,8,6,1,0,,,,0,1,0,,0,0,,,1,,,,,,,,,,
Persona,Persona 4,Your Affection,,,,https://audio.jukehost.co.uk/lx15NBmR4jaJDzU6dCo83Na48922avVo,8,6,1,0,,,,0,1,0,,0,0,,,1,,,,,,,,,,
Persona,Persona 4 Golden,Shadow World,,https://downloads.khinsider.com/game-soundtracks/album/persona-4-golden-the-complete-soundtrack/2-01.%2520Shadow%2520World.mp3,,https://audio.jukehost.co.uk/z8KOQTtMH2LwiKnVXNOiu0hDHvBGVeH8,5,6,0,0,,,,,1,,,,,,,1,,,0,,,,,,,
Persona,Persona 5,Last Surprise,,https://downloads.khinsider.com/game-soundtracks/album/persona-5-royal-the-complete-soundtrack/1-17.%2520Last%2520Surprise.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/persona-5-royal-the-complete-soundtrack/lznrveie/1-17.%20Last%20Surprise.mp3,9,6,1,0,,,,0,1,0,,1,0,,,1,,,,0,,,,,,
Persona,Persona 5,The Whims of Fate,,https://downloads.khinsider.com/game-soundtracks/album/persona-5-royal-the-complete-soundtrack/3-10.%2520The%2520Whims%2520of%2520Fate.mp3,,https://audio.jukehost.co.uk/pPbefGC8MPNHP4Ce0M5O7b7VHkdfHYBa,5,6,1,0,,,,,0,,,,,,,1,,,0,,,,,,,
Persona,Persona 5 Royal,Gentle Madman,,https://downloads.khinsider.com/game-soundtracks/album/persona-5-royal-the-complete-soundtrack/5-03.%2520Gentle%2520Madman.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/persona-5-royal-the-complete-soundtrack/kqzacmdg/5-03.%20Gentle%20Madman.mp3,5,6,0,0,,,,,1,,,,,,,1,,,0,,,,,,,
Persona,Persona 5 Royal,I Believe,,https://downloads.khinsider.com/game-soundtracks/album/persona-5-royal-the-complete-soundtrack/5-08.%2520I%2520believe.mp3,,https://audio.jukehost.co.uk/PzRwjxxII8mucMATKZprh26MidYBqWYm,7,6,0,0,,,,,1,,,,,,,1,,,0,0,,,,,1,
Plants vs Zombies,Plants vs Zombies,Zen Garden,,,,https://audio.jukehost.co.uk/bQtPhcFFoMdieJLe7CTsbwTb8mq9TB0S,5,6,1,1,,,,,0,0,,,0,,,,,,,,,,,,,
Pokemon,Gen 3 Remaster,Zinnia battle theme,,,,https://audio.jukehost.co.uk/YOH7qTmb8LDwIk1WJdhVmtvHaMB0dzyN,7,6,0,0,,,,0,1,0,,,1,,,,,,,,,,,,1,
Pokemon,Gen 5,Battle Trainer,Showdown,,,,5,6,1,0,,,,,1,,,,0,,,,,,0,,,,,,,
Pokemon,Gen 5,Rival Battle,,,,https://audio.jukehost.co.uk/vOyt7yQMaimM0u6qLvxOJLI1BgG7bt6u,5,6,1,0,,,,,1,,,,0,,,,,,0,,,,,,,
Pokemon,Legends Arceus,Origin form,Dialga/Palkia,,,https://audio.jukehost.co.uk/DyT81fbbmqYVXfZZAE0mGNKTCM9uUSKE,5,6,0,0,,,,,1,1,,,0,,,,,,,,,,,,,
Professor Layton,The Curious Village,Professor Layton theme,,,,https://audio.jukehost.co.uk/Z74BnrG9bTslBt9lQDzxQdXA3eFQwRW1,5,6,0,0,,,,,1,1,,,0,,,,,,,,,,,,,
Professor Layton,The Diabolical Box,Pandora's box theme,The Elysian Box Theme,,,https://audio.jukehost.co.uk/es8jFRxkAnYQF9EhVvyYNl3ppjT5G2mL,5,6,0,0,,,,,1,1,,,,,,,,,0,,,,,,,
Rayman,Legends,Castle Rock,,,,https://audio.jukehost.co.uk/yD5kIqHZ05BS86FdIldvWNyw2DxKYng9,5,6,0,1,,,,,1,,,,0,,,,,,0,,,,,,,
Rayman,Origins,Nowhere to run,,,,https://audio.jukehost.co.uk/Bqp32H9oNse0wVpSFnnbg2vNnUWkfZFZ,8,6,0,1,,,,,1,0,,,,,,1,,,0,,,,0,,0,
Rocket League,Rocket League,Glide,,,,https://audio.jukehost.co.uk/cYZGuIsyaIfV6vQyN8gh1FBa6Zdtsge1,9,6,1,0,1,,,1,0,0,,0,0,,,,,,,,,,,,1,
Sekiro,Sekiro,The one armed wolf,,,,https://audio.jukehost.co.uk/EJrCPM2lBE8dULGtGlNBZTiqtb9vABZG,8,6,0,0,,,,,1,1,,1,,,,0,,,,,,0,,,0,
Shin Megami Tensei,Shin megami Tensei 4 ,Battle B2,,,,https://audio.jukehost.co.uk/DJYCxiwOIe0fA995j1KsIl1D6pOw9TmT,8,6,0,0,,,,0,1,,,,0,,,0,1,,,,,,,,1,
Skylanders,Giants,Cutthroat Carnival,,,,https://audio.jukehost.co.uk/4VsiUEUxPeZzNBwClhZV41ksT15iexa1,8,6,1,0,,,,,1,0,,,,,,1,,,0,,,0,,,0,
Slime Rancher,Slime Rancher,Desert Firestorm,,,,https://audio.jukehost.co.uk/YyFRpKyFcxotuC5QGoLByOpFRvjWmb0V,5,6,0,0,,,,,0,1,,1,,,,,,,,,,,,,,
Sonic,Adventure 2,Escape From The City,,,,,5,6,1,0,,,,1,0,,,,,,,,,,0,,,,,,,
Sonic,Heroes,Sonic Heroes,,,,https://audio.jukehost.co.uk/Phgc42R5wcvvsp8phM70rQVb0rHgp5aV,5,6,0,0,,,,0,1,,,,1,,,,,,,,,,,,,
Sonic,Sonic The Hedgehog (Sonic 2006),His World,,,,https://audio.jukehost.co.uk/WD4aqkOePydRd9n7gROdUDvtH7lGe39Q,5,6,0,0,,,,1,1,,,,,,,,,,0,,,,,,,
Spider-man,Spider-man 2 : the game,Pizza,,,,https://audio.jukehost.co.uk/FlR1Lq1MXTcKKrqMdo6kKSiatVLw8P2Q,8,6,1,0,,,,,1,0,,,0,,,0,,,0,,,,,,1,
Super Mario,Super Mario Galaxy,Mission Select,,,,https://audio.jukehost.co.uk/mh0Mo8z6DZpD1HAi4E1Zul618LhsUdGr,5,6,1,1,,,,,0,,,0,,,,,,,0,,,,,,,
Super Mario,Super Mario Galaxy 2,Road to Bowser,,,,,5,6,1,1,,,,,0,,,0,,,,,,,0,,,,,,,
Super Smash Bros,Brawl,Battlefield,,,,https://audio.jukehost.co.uk/wkbt7TTEUxxbKCNMx6UCCZalV1xPZVik,9,6,1,0,,,,0,1,0,,0,0,,1,1,,,,,,,,,,
Super Smash Bros,Ultimate,Gangplank Galleon,,,,https://audio.jukehost.co.uk/sIA39N7BzD51ouVH6PFKnllyzSTQN4Dc,5,6,1,0,,,,,1,0,,,,,,,,,0,,,,,,,
Tetris,Tetris BPS,Technotris,,,,https://audio.jukehost.co.uk/R7C0oMp1vDhF61M55yGsCLzwqojOnQbE,8,6,0,0,1,,,,1,1,,,0,,0,0,,,,,,,,,,
The Binding of Isaac,Isaac,Sacrificial,Isaac,,,,5,6,1,0,,,,,0,1,,,,,,,,,0,,,,,,,
The Binding of Isaac,Rebirth ,Genesis 22-10,Isaac/Genesis,,,https://audio.jukehost.co.uk/vgPjPK8UfQssomSRbNBFnlkhVJigPYQs,11,6,1,0,0,,,0,1,1,1,0,0,0,,0,,,,,,,,,,
The Elder Scrolls,Skyrim,From past to present,,,,https://audio.jukehost.co.uk/ski3Hp0rRm6RpIkwbrazYGch0nhdo8TV,5,6,0,0,,,,,1,0,1,,,,,,,,,,,,,,,
The Elder Scrolls,Skyrim,The Streets of Whiterun,,,,https://audio.jukehost.co.uk/CynK1kudEZ7u8uzEamKUmeV9FlObUkc1,11,6,0,0,1,,1,0,0,0,1,1,0,,,,,,,,,,0,,,
Trove,Trove,Peaceful hub,,,,https://audio.jukehost.co.uk/9GDOaqVKWm4Q1UUY4opm7F7Eoul6SmfD,5,6,1,0,,,,,1,,,,0,,,,,,0,,,,,,,
Ultrakill,Ultrakill,Tenebre Rosso Sangue,,,,https://audio.jukehost.co.uk/75UQ5mhKTTWWPJO6kK8S2aJ9QoQHKpJP,5,6,0,0,,,,,1,,,,,,,0,,,1,,,,,,,
Uncharted,Uncharted 3,Nate's Theme,,,,https://audio.jukehost.co.uk/BNUeRwnvzPbODrlXCoUDVFhBWw9GkzVl,8,6,0,0,,,,,1,0,,1,0,,,1,,,,,,,,,0,
Valorant,Valorant,Die for you,,,,https://audio.jukehost.co.uk/YZeIdCFYhJc1Nez5Wl0Wa2I5LgfarNHy,5,6,0,0,,,,,1,1,,,0,,,,,,,,,,,,,
Valorant,Valorant,Ticking away,,,,,5,6,0,0,,,,,1,1,,,0,,,,,,,,,,,,,
Vampire Survivors,Vampire Survivors : Ode to Castlevania,Aquarius,Castlevania ?,,,https://audio.jukehost.co.uk/dViOchFPdNtAzazMWadkEqnbCMy47249,5,6,1,0,,,,,1,,,,,,,0,,,0,,,,,,,
Warcraft,HearthStone,Main theme,,,,https://audio.jukehost.co.uk/e7ubm0l9auLp04DAktt3bRdbmV8PVoSP,5,6,1,0,,,,,1,,,,,,,0,,,,0,,,,,,
Xenoblade Chronicles,Xenoblade Chronicles,Main Theme,,,,,5,6,0,0,,,,,1,,,,1,,,,,,0,,,,,,,
Xenoblade Chronicles,Xenoblade Chronicles 2,Counterattack,,,,,7,6,0,0,,,,,1,,,,1,,,,1,,0,,,,,,0,
Xenoblade Chronicles,Xenoblade Chronicles 2,Incoming,,,,https://audio.jukehost.co.uk/sZ8TysT6uP8UiWmBf39kP5QozA0ZRKkk,7,6,0,0,,,,,0,,,,1,,,,1,,0,,,,,,1,
YuGiOh,YGO Duel Link,World theme,,,,,5,6,0,0,,,,,1,0,,1,,,,,,,,,,,,,,
Zelda,Skyward Sword,Ballad of the goddess,,,,,9,6,0,0,1,,,0,1,1,,0,0,,1,,,,,,,,,,,
Zelda,Skyward Sword,Ballad of the goddess (harp),,,,,9,6,0,0,1,,,0,1,1,,0,0,,1,,,,,,,,,,,
Zelda,Skyward Sword,Fi's farewell,,,,https://audio.jukehost.co.uk/eJvKDWn6japUd6go0hLsOut08uesFWBS,9,6,0,0,1,,,0,1,1,,0,0,,1,,,,,,,,,,,
Zelda,Twilight Princess,Hidden Village,,,,https://audio.jukehost.co.uk/uVp8UGSRcy0d31Hepjvin1qPft2IdIet,7,6,0,0,1,,,,1,,,,0,,1,,,,0,,,,,,,
Zombie Tsunami,Zombie Tsunami,In Game,,,,,9,6,1,0,0,,,1,1,0,,1,0,,,,,,,0,,,,,,
Afterimage,Afterimage,Afterimage,,https://downloads.khinsider.com/game-soundtracks/album/afterimage-ps4-ps5-switch-windows-xbox-one-xbox-series-xs-gamerip-2023/04%2520Bgm%2520Login.mp3,,https://nu.vgmtreasurechest.com/soundtracks/afterimage-original-game-soundtrack-2023/knlquavz/01.%20Afterimage.mp3,6,7,0,0,,,, ,1,0,,1,,,,,,,0,,,,,,,
Age of Empire,Age of Empire 2,Theme Song,,,,https://audio.jukehost.co.uk/IR4NjlOF6bPdNH4Cm1sZSNlvluPghb8U,15,7,1,0,0,0,1,0,1,0,1,0,0,0,,0,0,,1,,,,,,,
Animal Crossing,Animal Crossing : New Leaf,5 P.M.,AC/ACNL,,,https://audio.jukehost.co.uk/XF3INZdawZSyPxB0gnb9enaYvdG9Ldky,11,7,1,1,0,,,0,0,0,,0,0,0,,1,0,,,,,,,,,
Animal Crossing,Animal Crossing : New Leaf,8 A.M.,AC/ACNL,,,https://audio.jukehost.co.uk/qQ7RD6jnDZmk3eASTzNcCoDsjjY8T3Jt,11,7,1,1,0,,,0,0,0,,0,0,0,,1,0,,,,,,,,,
Animal Crossing,Animal Crossing : New Leaf,I Paid Off My Loan!,AC/ACNL,,,https://audio.jukehost.co.uk/4MwKn9HKjAGYJZUeUNI91sNwYLfCW9jM,11,7,1,1,0,,,0,0,0,,0,0,0,,1,0,,,,,,,,,
ARK,ARK Survival Evolved,Main Theme,,,,,3,7,1,0,,,,,0,,,,,,,,,,,,,,,,,
Assassin's Creed,AC Odyssey ,The legend of the eagle bearer,,,,https://audio.jukehost.co.uk/7XSTGHP48pR3CjH23ws3OjONPiToHwOo,11,7,0,0,,,,0,1,1,,,0,0,,0,1,,,0,,0,,,,
Assassin's Creed,Assassin's Creed Unity,Unity,Main theme,,,https://audio.jukehost.co.uk/I3KP0tRDEs0XaPgnXK7y635pjLQWlo1C,10,7,0,0,,,,0,1,1,,,0,0,,0,1,,,,,,,,0,
Baldur's gate,Baldur's gate 3,Down by the river,,,,https://audio.jukehost.co.uk/wMspmALkj2p8mZQp4m7aZ6LtuqCybnIa,14,7,0,0,0,,,0,1,1,1,0,0,0,,1,0,,,,,,0,,0,
Bomb Rush Cyberfunk,Bomb Rush Cyberfunk,Big city life,,https://downloads.khinsider.com/game-soundtracks/album/bomb-rush-cyberfunk-soundtrack-2023/01.%2520Big%2520City%2520Life%2520ft%2520OV.mp3,,https://audio.jukehost.co.uk/yfiIUq1V9d0D5HAvHIMd1tK5w2JQF1Bd,6,7,0,0,,,,,1,,,,0,,,0,1,,,,,,,,,
Bomb Rush Cyberfunk,Bomb Rush Cyberfunk,Condensed Milk,,https://downloads.khinsider.com/game-soundtracks/album/bomb-rush-cyberfunk-soundtrack-2023/08.%2520Condensed%2520Milk.mp3,,https://audio.jukehost.co.uk/IsIWg1mgKKDg1NoK2cEpVWxIlyREJuRM,6,7,0,0,,,,,1,,,,0,,,0,1,,,,,,,,,
Bomb Rush Cyberfunk,Bomb Rush Cyberfunk,DA PEOPLE,,https://downloads.khinsider.com/game-soundtracks/album/bomb-rush-cyberfunk-soundtrack-2023/19.%2520DA%2520PEOPLE.mp3,,https://audio.jukehost.co.uk/IjY7spwowM6PTR9Obek7ZtlkJUIItArD,6,7,0,0,,,,,1,,,,0,,,0,1,,,,,,,,,
Bomb Rush Cyberfunk,Bomb Rush Cyberfunk,GET ENUF,,https://downloads.khinsider.com/game-soundtracks/album/bomb-rush-cyberfunk-soundtrack-2023/14.%2520GET%2520ENUF.mp3,,https://audio.jukehost.co.uk/n59olf6W5jPq68Qnxekoc9zK0QC7yeH5,6,7,0,0,,,,,1,,,,0,,,0,1,,,,,,,,,
Bomb Rush Cyberfunk,Bomb Rush Cyberfunk,In the pocket,Main menu,https://downloads.khinsider.com/game-soundtracks/album/bomb-rush-cyberfunk-soundtrack-2023/23.%2520In%2520The%2520Pocket.mp3,,https://audio.jukehost.co.uk/6fO0sLmU08SW8jJ7xMxD0NzhKAp11ih4,7,7,0,0,,,,,1,0,,,0,,,0,1,,,,,,,,,
Bomb Rush Cyberfunk,Bomb Rush Cyberfunk,JACK DA FUNK,,https://downloads.khinsider.com/game-soundtracks/album/bomb-rush-cyberfunk-soundtrack-2023/11.%2520JACK%2520DA%2520FUNK.mp3,,https://audio.jukehost.co.uk/qfwjuEW1rtL8fH0HrA9tx03T9c3oRw0D,7,7,0,0,,,,,1,0,,,0,,,0,1,,,,,,,,,
Castlevania,Aria of Sorrow,Heart of fire,Don't Wait Until Night,,,https://audio.jukehost.co.uk/4mNlhEuaZHdhY4mlt4r7LyFb5oZNHvYv,6,7,0,0,0,,,,1,,,,0,,,,1,,,,,,,,,
Castlevania,Dawn of Sorrow,Dracula's Tears,,,,https://audio.jukehost.co.uk/Jtgmfkxz1DJiVmmqGgitCmUeIXV1SK0h,6,7,0,0,0,,,,1,,,,0,,,,1,,,,,,,,,
Castlevania,Dawn of Sorrow,Into the dark Night,,,,https://audio.jukehost.co.uk/fbeBhjyE7E9ArXC97EulqphapUxSyxUX,6,7,0,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Castlevania,Dawn of Sorrow,Pitch black intrusion,,,,https://audio.jukehost.co.uk/Ax2rX8EznbL8Teu6Bs7Jpn0bSv7Ydvym,6,7,0,0,0,,,,1,,,,0,,,,1,,,,,,,,,
Castlevania,Lament of Innocence,Leon's theme,,,,https://audio.jukehost.co.uk/XF0JsifFKSJPtf3xrK0vUqzN2zxVqdlx,6,7,1,0,0,,,,1,,,,,,,0,,,0,,,,,,,
Castlevania,Order of Ecclesia,An empty tome,,,,https://audio.jukehost.co.uk/fPBFSmkDKj8BhflldbmPhRTyS39CzoKa,6,7,0,0,0,,,,1,,,,0,,,,1,,,,,,,,,
Castlevania,Order of Ecclesia,Lament to the master,,,,https://audio.jukehost.co.uk/L6MMMYUtYo2ldeQM1QG16cXAevZ1cVRf,6,7,0,0,0,,,,1,,,,0,,,,1,,,,,,,,,
Castlevania,Order of Ecclesia,Prologue,,,,https://audio.jukehost.co.uk/6P7iXfvqxCsHtXLlGAXfhvWFY15VTLvi,6,7,0,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Castlevania,Order of Ecclesia,Rhapsody of the Forsaken,,,,https://audio.jukehost.co.uk/AiuhC5JFrPZWPrWFYxq4PCkvDK081v9p,6,7,0,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Castlevania,Order of Ecclesia,Tower of dolls,,,,https://audio.jukehost.co.uk/xYVfcYxnZZRwqa30ILiaY3Y25cCIZybO,6,7,0,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Castlevania,Portrait of Ruin,Gaze up at the darkness,,,,https://audio.jukehost.co.uk/ILiVfq68K5WNMnjwS9RQFIbkCGS5dmUb,6,7,0,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Castlevania,Portrait of Ruin,Hail from the past,,,,https://audio.jukehost.co.uk/NxHv8IJSR8e27YnA4W6MIjApfWifpGHb,6,7,0,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Castlevania,Portrait of Ruin,Invitation of a Crazed Moon,,,,https://audio.jukehost.co.uk/S1FabQ3D7C1QY1TKC2oCBx2AOqsMQzWn,6,7,0,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Castlevania,Portrait of Ruin,Iron blue intention,,,,https://audio.jukehost.co.uk/R7GnXbqVfRU1IFY7SjCe4wK2P6oK3oSs,6,7,0,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Counter Strike,CS:GO,Main Menu,,,,,9,7,1,0,,0,,1,1,0,,,0,0,,,0,,,,,,,,,
Crypt of the NecroDancer,Crypt of the NecroDancer,Disco Descent,,,,,6,7,0,0,,,,,1,0,,,0,,,,,,1,,,,,,,
CyberPunk 2077,Cyberpunk 2077,WHO'S READY FOR TOMORROW,,,,,13,7,0,0,0,0,,1,1,1,1,0,0,0,,,0,,,,,,,,0,
Dark Souls,Dark Souls,Dark Sun Gwyndolin,,,,https://audio.jukehost.co.uk/Pj3asao1cYG7RMO6VAk6EXtJUPgflPKQ,11,7,0,0,,,,0,1,0,,1,0,0,,,1,,0,,,,,,0,
Dark Souls,Dark Souls 3,Nameless King,,,,https://audio.jukehost.co.uk/3H1WlkhLEz2BwNPMMMrIkR9kiM1hnqWW,9,7,0,0,,,,0,1,0,,1,0,0,,,1,,,,,,,,,
Dark Souls,Dark Souls 3,Sister Friede,,https://downloads.khinsider.com/game-soundtracks/album/dark-souls-iii-soundtracks/2-10%2520Sister%2520Friede%2520and%2520Father%2520Ariandel.mp3,,https://vgmtreasurechest.com/soundtracks/dark-souls-iii-soundtracks/jhitvwui/2-10%20Sister%20Friede%20and%20Father%20Ariandel.mp3,10,7,0,0,,,,0,1,0,,1,0,0,,,1,,,0,,,,,,
Darkest Dungeon,Darkest Dungeon 1,Mournweald Encounter,,,,https://audio.jukehost.co.uk/DIxuZ8oTMMfoiaDJO1bQVmyWWtaooZzX,14,7,1,1,0,,,0,0,0,1,0,0,0,,0,0,,,,,,0,,1,
Death's door,Death's door,Avarice,,https://downloads.khinsider.com/game-soundtracks/album/death-s-door-2021-pc-switch-gamerip/Avarice%2520Crow%2520Land%2520%257Bm%257D.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/death-s-door-2021-pc-switch-gamerip/xgmrwklz/Avarice%20Crow%20Land%20%7Bm%7D.mp3,11,7,1,0,0,,,0,1,0,,0,1,0,,,0,,,,,,,,0,
Death's door,Death's door,Main theme,,,,https://audio.jukehost.co.uk/7rBmB1wbvxrl9bNg5ewwJrsb74WdtNhO,12,7,0,0,,,,0,1,0,,0,1,0,,1,0,,,1,,,,,0,
Deep Town,Deep Town,Nuclear,,,,,3,7,,0,,,,,0,,,,,,,1,,,,,,,,,,
Deep Town,Deep Town,Routine,,,,,3,7,,0,,,,,0,,,,,,,1,,,,,,,,,,
Devil May Cry,DMC5,Bury the light,,,,https://audio.jukehost.co.uk/e7vjXiCSHc9XfFBwFjXmzTfl1BAGGdzq,10,7,0,0,,,,0,1,0,,0,1,0,,,1,,,,,,,,0,
Dishonored,Dishonored 2,Main theme,,https://downloads.khinsider.com/game-soundtracks/album/dishonored-2-original-soundtrack-deluxe-edition-2017/01.%2520Dishonored%25202%2520Main%2520Theme.mp3,,https://audio.jukehost.co.uk/EnxpzLvZxX4qx2GdNNNAITrMy2IdFrMg,9,7,0,1,,,,,1,0,,1,0,0,,,0,,,,,,,,0,
Don't Starve,Don't Starve Together,Autumn Work,DST,,,,3,7,1,0,,,,,0,,,,,,,,,,,,,,,,,
Don't Starve,Don't Starve Together,Danger,DST,,,,3,7,1,0,,,,,0,,,,,,,,,,,,,,,,,
Don't Starve,Don't Starve Together,Title Theme,DST,,,,3,7,1,0,,,,,0,,,,,,,,,,,,,,,,,
Doom,Doom 2,Running from evil,,,,https://audio.jukehost.co.uk/yx9LZpuaVLahYuuNpOpilL2iSkCOkP1s,13,7,0,1,1,,,0,1,0,1,0,0,0,,0,0,,,,,,,,0,
Elden Ring,Elden Ring,Mohg Lord of Blood,,,,https://audio.jukehost.co.uk/4Vn3BsMIFlWoTpbGif1A5B35KuGjyYbw,9,7,1,0,0,0,,,1,0,,,0,0,,,1,,,,,,,,,
Elden Ring,Elden Ring,Opening (La fin est connu),,,,https://audio.jukehost.co.uk/qj5m7p0l8kTJFQ94rmiRlbj8ftjgWsyB,9,7,1,0,0,0,,,1,0,,,0,0,,,1,,,,,,,,,
F-Zero,F-Zero,Port Town,,,,https://audio.jukehost.co.uk/dHtrgq77ZgeDqwIzitXdt3PdQuZhhUNi,10,7,0,0,,,,0,1,0,,,0,0,,0,1,,,,,,,,1,
